,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,COMPONENTE:,Digeribilità,Proprietà,Proteine,,Grammi,Proteine,,,,
,,,Legante,per  100 gr.,,,in %,,,,
1,ALBUMINA,SCARSA,MOLTO,75.0,1,,0,,,,
2,CALCIO CASEINATO,BUONA,BUONO,90.0,2,,0,,,,
3,CASEINA,SCARSA,NEUTRA,90.0,3,,0,,,,
4,FARINA DI ARACHIDE TOST,BUONA,NEUTRA,40.0,4,,0,,,,
5,FARINA DI ARINGHE,BUONA (▼),SLEGANTE,75.0,5,,0,,,,
6,FARINA DI AVENA,BUONA,BUONO,11.0,6,,0,,,,
7,FARINA DI CARNE,SCARSA,NEUTRA,80.0,7,,0,,,,
8,FARINA DI CECI,BUONA,MOLTO,20.0,8,,0,,,,
9,FARINA DI CRISALIDE,BUONA,SLEGANTE,20.0,9,,0,,,,
10,FARINA DI FAVA,BUONA,LEGANTE,,10,,0,,,,
11,FARINA DI FEGATO,BUONA,NEUTRA,85.0,11,,0,,,,
12,FARINA DI GAMBERO,MOLTO,NEUTRA,60.0,12,,0,,,,
13,FARINA DI GRANO,MOLTO,OTTIMO,15.0,13,,0,,,,
14,FARINA DI M….(???),OTTIMA,OTTIMO,,14,,0,,,,
15,FARINA DI MAIS,OTTIMA,MEDIA,11.0,15,,0,,,,
16,FARINA DI MELASSA,BUONA,SLEGANTE,30.0,16,,0,,,,
17,FARINA DI MERLUZZO,BUONA (▼),NEUTRA,60.0,17,,0,,,,
18,FARINA DI ORZO,BUONA,BUONO,13.0,18,,0,,,,
19,FARINA DI PATATA,BUONA,OTTIMO,9.0,19,,0,,,,
20,FARINA DI PESCE BIANCO,BUONA (▼),NEUTRA,60.0,20,,0,,,,
21,FARINA DI RISO,MEDIA,NEUTRA,7.0,21,,0,,,,
22,FARINA DI SARDINA,MOLTO (▼),NEUTRA,60.0,22,,0,,,,
23,FECOLA DI PATATE,BUONA,OTTIMO,,23,,0,,,,
24,GERME DI GRANO,MOLTO,LEGANTE,50.0,24,,0,,,,
25,GLUTINE DI GRANO,SCARSA,OTTIMO,80.0,25,,0,,,,
26,GLUTINE DI MAIS,SCARSA,LEGANTE,70.0,26,,0,,,,
27,ISOLATO DI SOYA,BUONA,MEDIA,90.0,27,,0,,,,
28,LACTALBUMINA,MOLTO,BUONO,90.0,28,,0,,,,
29,LATTE IN POLVERE,MEDIA,BUONO,25.0,29,,0,,,,
30,NECTARBLEND,BUONA,SLEGANTE,15.0,30,,0,,,,
31,PASTONCINO PER UCCELLI,MOLTO,SLEGANTE,10.0,31,,0,,,,
32,POLVERE D'UOVO,MEDIA,MOLTO,50.0,32,,0,,,,
33,PROSECTO INSECTIVORUS,BUONA,SLEGANTE,10.0,33,,0,,,,
34,RED FACTOR,BUONA,SLEGANTE,12.0,34,,0,,,,
35,ROBIN RED,OTTIMA,SLEGANTE,12.0,35,,0,,,,
36,SEMI PER UCCELLI,OTTIMA,SLEGANTE,10.0,36,,0,,,,
37,SEMOLINO ,OTTIMA,LEGANTE,13.0,37,,0,,,,
38,SLUIS CLO,BUONA,SLEGANTE,13.0,38,,0,,,,
39,SODIO CASEINATO,BUONA,LEGANTE,90.0,39,,0,,,,
40,SOYA GRASSA,MEDIA,MEDIA,45.0,40,,0,,,,
41,SOYA TOSTATA,BUONA,MEDIA,40.0,41,,0,,,,
42,SEMOLINO 50%+GERME 50%,OTTIMA,MOLTO,31.5,42,,0,,,,
43,,,,,43,,0,,,,
44,,,,,44,,0,,,,
45,,,,,45,,0,,,,
46,,,,,46,,0,,,,
47,,,,,47,,0,,,,
48,,,,,48,,0,,,,
49,,,,,49,,0,,,,
50,,,,,50,,0,,,,
51,,,,,51,,0,,,,
52,,,,,52,,0,,,,
53,,,,,53,,0,,,,
54,NUM. DI UOVA (MEDIE),,,1.3,54,,0,,,,
,inserire nome mix,,,,,,0.0,,,,
,,,,,,0,0.0,,,,
,PESO DEL MIX,,,,,,,,,,
,PROTEINE IN % DEL MIX,,,,,,,,,,
,VALORE PROTEICO DELLA BOILES,,,,,,0.0,,,,
,,,,,,,,,,,
,        (▼) VALORI RIFERITI A TEMPERATURE DELL'ACQUA > = 18°,,,,Charlie & Enrico,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,